timestamp,sTTDD_fBuTam,sTTDD_fBuHuong,sTTDD_fHTam,sTTDD_fHHuong,sTTDD_fGocNgamTam,sTTDD_fGocNgamHuong,sTTDD_fNhietdo,sTTDD_fApsuat,sTTDD_fGiongang,sTTDD_fGiodoc,sTTDD_fDoNghieng,sTTDD_fSoTocDauNong,sTTDD_fGocNay,sTTDD_fDoCongNong,sTTDD_fGocTa,sTTDD_fSuaDauGuongTam,sTTDD_fSuaDauGuongHuong,sTTDD_fSuaTamZeroing,sTTDD_fSuaHuongZeroing,sTTDD_fCulyHieuChinh,sTTDD_iMode,sTTDD_nhapsodan,sTTDD_cambantam,sTTDD_cambanhuong,sTTDD_sTargetInfo_fSpeedEl,sTTDD_sTargetInfo_fSpeedAz,sTTDD_sFlag_b_NhietDo,sTTDD_sFlag_b_Apsuat,sTTDD_sFlag_b_GioNgang,sTTDD_sFlag_b_GioDoc,sTTDD_sFlag_b_DoNghieng,sTTDD_sFlag_b_GocTa,sTTDD_sFlag_b_CuLy,sTTDD_sFlag_b_VanTocEl,sTTDD_sFlag_b_VanTocAz,sTTDD_sFlag_backup,sTTDD_sFeature_b_CTChuyenDoi,sTTDD_sFeature_b_BuDanDao,sTTDD_sFeature_b_AutoLoF,sTTDD_sFeature_backup,sTTDD_FlagChedoHieuchinh,sBtn_SavedFlag,sBtn_GotoSaved,sBtn_CtrlByRate,sBtn_ElUp,sBtn_ElDown,sBtn_AzUp,sBtn_AzDown,sBtn_backup,sBtn_Rate,sBtn_fDposEl_TC,sBtn_fDposAz_TC,sGCU_Time_DX,sGCU_Time_DXN,sGCU_Time_DXD,sGCU_Time_LT,sGCU_Time_Auto_Off,sGCU_SovienDXN,sGCU_SovienDXD,sGCU__ConfigFlag,sGCU_BurstCount,sGCU_BypassLvdt,sGCU_flagResetChukidan,Alpha,u8CheckSum
2026-01-28 17:10:48.186,0.0,0.0,0.0,0.0,0.0,0.0,25.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,30,450,800,10000,0,3,10,0,0,1,0,0.0,81
2026-01-28 17:10:48.866,0.0,0.0,0.0,0.0,0.0,0.0,25.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,30,450,800,10000,0,3,10,0,0,0,0,0.0,80
